"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Abigale, Eloquent First-Year","WB","R","2480","1.67","1562","1.73","12312","92.8%","56.1%","2206","56.2%","2998","61.3%","5204","59.1%","7067","53.7%","5.4pp"
"Ashling's Command","UR","R","4173","2.61","1825","2.77","13184","84.7%","59.3%","2298","64.4%","3712","68.5%","6010","66.9%","6862","51.9%","15.0pp"
"Boggart Cursecrafter","BR","U","19535","4.38","4237","5.23","20426","74.7%","54.6%","3501","57.9%","5050","56.0%","8551","56.8%","11346","52.5%","4.2pp"
"Bre of Clan Stoutarm","WR","R","4088","2.69","1506","2.93","8212","71.8%","52.8%","1409","53.7%","2199","58.1%","3608","56.4%","4633","49.8%","6.6pp"
"Brigid's Command","WG","R","4693","2.84","1574","3.22","9080","73.0%","57.3%","1543","58.4%","2183","62.6%","3726","60.8%","5132","54.2%","6.6pp"
"Catharsis","WR","M","1602","1.95","702","2.02","4517","79.4%","52.1%","768","52.3%","1144","58.1%","1912","55.8%","2563","49.4%","6.4pp"
"Chaos Spewer","BR","C","76360","6.30","9434","9.10","26532","45.8%","50.9%","4661","48.5%","6587","52.5%","11248","50.8%","15041","50.7%","0.1pp"
"Chitinous Graspling","UG","C","77521","5.89","10858","8.67","30248","44.7%","51.7%","5161","49.1%","7656","53.0%","12817","51.4%","17094","51.6%","-0.2pp"
"Deceit","UB","M","1441","1.67","887","1.68","6315","84.1%","55.1%","1034","56.5%","1653","62.5%","2687","60.2%","3575","51.2%","8.9pp"
"Deepchannel Duelist","WU","U","16851","3.91","4975","4.40","28293","80.9%","59.2%","5055","64.6%","7105","63.2%","12160","63.8%","15392","55.0%","8.7pp"
"Deepway Navigator","WU","R","5628","3.36","1677","3.81","9289","74.7%","56.1%","1656","56.2%","2242","57.5%","3898","57.0%","5182","55.1%","1.9pp"
"Doran, Besieged by Time","WBG","R","5836","3.38","1454","3.81","6237","60.2%","52.4%","1055","58.2%","1677","59.0%","2732","58.7%","3482","47.3%","11.4pp"
"Dream Harvest","UB","R","7968","3.83","1575","4.87","5839","59.6%","51.0%","918","46.2%","1617","54.2%","2535","51.3%","3310","50.8%","0.6pp"
"Eclipsed Boggart","BR","U","21802","4.64","4526","5.71","20390","70.3%","56.3%","3657","59.7%","4923","59.4%","8580","59.6%","11331","53.4%","6.2pp"
"Eclipsed Elf","BG","U","16554","3.63","5167","4.12","29876","84.5%","59.5%","5513","64.4%","7283","63.3%","12796","63.8%","16280","55.6%","8.2pp"
"Eclipsed Flamekin","UR","U","20772","4.36","5557","5.18","29270","79.9%","57.3%","5321","59.7%","7846","61.6%","13167","60.8%","15499","53.9%","6.9pp"
"Eclipsed Kithkin","WG","U","16680","3.66","5057","4.24","27674","80.4%","58.5%","5322","64.7%","6280","60.4%","11602","62.3%","15546","55.4%","6.9pp"
"Eclipsed Merrow","WU","U","19114","4.11","5435","4.70","28848","78.3%","58.7%","5300","62.8%","7113","61.9%","12413","62.3%","15712","55.4%","6.9pp"
"Emptiness","WB","M","1255","1.56","785","1.56","6109","88.5%","53.3%","1071","51.6%","1522","60.7%","2593","57.0%","3480","50.5%","6.5pp"
"Feisty Spikeling","WR","C","72698","5.37","11227","7.62","46615","67.0%","52.3%","8308","51.5%","11077","50.8%","19385","51.1%","26714","53.0%","-1.9pp"
"Figure of Fable","WG","R","2392","1.66","1584","1.70","13816","94.6%","58.2%","2617","65.8%","3454","62.4%","6071","63.8%","7627","53.6%","10.3pp"
"Flaring Cinder","UR","C","77276","6.43","12287","8.79","40704","53.7%","54.3%","7249","53.8%","10860","56.5%","18109","55.4%","22053","53.1%","2.2pp"
"Gangly Stompling","RG","C","74893","5.60","11479","8.10","43507","60.3%","54.0%","7665","53.3%","10236","54.8%","17901","54.2%","25043","53.6%","0.6pp"
"Glister Bairn","UG","U","25255","5.14","4169","6.96","13645","53.3%","50.1%","2264","47.3%","3577","53.8%","5841","51.3%","7817","49.1%","2.2pp"
"Grub's Command","BR","R","5173","3.13","1582","3.57","9248","70.3%","58.0%","1579","63.2%","2289","65.7%","3868","64.7%","5118","52.1%","12.6pp"
"High Perfect Morcant","BG","R","3463","2.37","1396","2.56","10786","82.7%","57.7%","1857","63.7%","2791","62.6%","4648","63.0%","5764","53.1%","9.9pp"
"Hovel Hurler","WR","U","18474","3.85","4315","4.77","21438","79.8%","52.5%","3559","51.4%","5547","56.7%","9106","54.6%","12452","51.0%","3.7pp"
