"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Wanderwine Distracter","U","C","83885","7.41","10309","10.73","12605","42.2%","53.3%","2072","50.9%","3072","52.3%","5144","51.7%","7290","53.8%","-2.0pp"
"Wanderwine Farewell","U","U","23363","4.91","5185","6.08","17685","93.1%","56.7%","2903","55.2%","4392","59.3%","7295","57.7%","9978","55.5%","2.2pp"
"Wild Unraveling","U","C","81221","6.97","11019","9.91","8504","35.8%","53.6%","1426","53.7%","2066","54.9%","3492","54.4%","5012","53.0%","1.5pp"
"Auntie's Sentence","B","C","72365","5.70","9832","8.09","7","0.3%","","1","","1","","2","","5","",""
"Barbed Bloodletter","B","C","83391","7.16","9765","10.50","7","0.1%","","2","","1","","3","","4","",""
"Bile-Vial Boggart","B","C","76287","6.24","9718","8.90","0","0.0%","","0","","0","","0","","0","",""
"Bitterbloom Bearer","B","M","1357","1.71","736","1.76","16","","","2","","2","","4","","12","",""
"Blight Rot","B","C","45272","3.71","11283","4.53","88","4.1%","","24","","21","","45","","43","",""
"Blighted Blackthorn","B","C","80027","6.64","10132","9.62","7","0.2%","","1","","1","","2","","5","",""
"Bloodline Bidding","B","R","5426","3.21","1556","3.54","19","","","1","","6","","7","","12","",""
"Boggart Mischief","B","U","18479","4.20","3871","4.96","0","0.0%","","0","","0","","0","","0","",""
"Boggart Prankster","B","C","79625","6.77","10147","9.56","0","0.0%","","0","","0","","0","","0","",""
"Bogslither's Embrace","B","C","47175","3.80","11661","4.70","25","1.2%","","5","","5","","10","","15","",""
"Champion of the Weird","B","R","4549","2.85","1346","3.25","0","","","0","","0","","0","","0","",""
"Creakwood Safewright","B","U","17287","3.82","4750","4.47","1","0.1%","","0","","1","","1","","0","",""
"Darkness Descends","B","U","28037","5.95","3287","8.73","0","0.0%","","0","","0","","0","","0","",""
"Dawnhand Dissident","B","R","3813","2.40","1675","2.56","18","","","4","","5","","9","","9","",""
"Dawnhand Eulogist","B","C","72640","6.00","13029","7.72","0","0.0%","","0","","0","","0","","0","",""
"Dose of Dawnglow","B","U","27479","5.62","3836","8.01","4","0.3%","","2","","0","","2","","2","",""
"Dream Seizer","B","C","78448","6.47","10079","9.26","2","0.0%","","2","","0","","2","","0","",""
"Gloom Ripper","B","R","3891","2.47","1604","2.62","0","","","0","","0","","0","","0","",""
"Gnarlbark Elm","B","U","17889","3.84","4008","4.71","2","0.2%","","0","","0","","0","","2","",""
"Graveshifter","B","U","16141","3.45","4605","4.11","24","3.2%","","3","","7","","10","","13","",""
"Grub, Storied Matriarch","B","R","4986","3.02","1354","3.52","0","0.0%","","0","","0","","0","","0","",""
"Gutsplitter Gang","B","U","24207","5.19","3646","6.89","0","0.0%","","0","","0","","0","","0","",""
"Heirloom Auntie","B","C","76782","6.52","9102","9.37","0","0.0%","","0","","0","","0","","0","",""
"Iron-Shield Elf","B","U","19774","4.14","5198","4.92","0","0.0%","","0","","0","","0","","0","",""
"Moonglove Extractor","B","C","75387","6.20","9909","8.86","0","0.0%","","0","","0","","0","","0","",""
"Moonshadow","B","M","1581","1.92","715","2.02","8","","","2","","2","","4","","4","",""
"Mornsong Aria","B","R","13140","5.73","1553","9.01","0","0.0%","","0","","0","","0","","0","",""
"Mudbutton Cursetosser","B","U","22587","4.78","3979","6.10","0","0.0%","","0","","0","","0","","0","",""
"Nameless Inversion","B","U","13729","3.07","4722","3.55","50","4.5%","","8","","12","","20","","30","",""
"Nightmare Sower","B","U","22036","4.72","3369","6.24","49","3.7%","","11","","10","","21","","29","",""
"Perfect Intimidation","B","U","30790","6.39","3363","9.70","0","0.0%","","0","","0","","0","","0","",""
"Requiting Hex","B","U","21453","4.45","3998","5.74","4","0.4%","","2","","0","","2","","2","",""
"Retched Wretch","B","U","25035","5.24","3886","7.01","0","0.0%","","0","","0","","0","","0","",""
"Scarblade Scout","B","C","66753","5.40","12671","6.92","2","0.1%","","0","","0","","0","","2","",""
"Scarblade's Malice","B","C","77505","6.34","9737","9.20","0","0.0%","","0","","0","","0","","0","",""
"Shimmercreep","B","U","25622","5.20","4736","6.91","89","5.7%","","18","","20","","38","","49","",""
"Taster of Wares","B","R","4457","2.73","1628","2.97","9","1.7%","","2","","1","","3","","6","",""
"Twilight Diviner","B","R","5090","2.95","1525","3.42","10","1.8%","","2","","1","","3","","7","",""
"Unbury","B","U","20565","4.19","4626","5.30","25","3.2%","","4","","8","","12","","13","",""
"Ashling, Rekindled","R","R","4903","2.93","1681","3.26","48","6.8%","","8","","15","","23","","25","",""
"Boldwyr Aggressor","R","U","29454","6.16","3844","8.74","0","0.0%","","0","","0","","0","","0","",""
"Boneclub Berserker","R","C","80649","7.25","9475","10.50","0","0.0%","","0","","0","","0","","0","",""
"Boulder Dash","R","U","19380","4.09","4679","4.95","21","2.0%","","4","","3","","7","","14","",""
"Brambleback Brute","R","C","80229","6.88","10115","9.81","0","0.0%","","0","","0","","0","","0","",""
"Burning Curiosity","R","C","84049","7.37","11164","10.42","6","0.1%","","1","","2","","3","","3","",""
"Champion of the Path","R","R","5432","3.22","1510","3.71","9","1.8%","","0","","3","","3","","6","",""
"Cinder Strike","R","C","51449","4.25","13388","5.08","84","3.1%","","16","","24","","40","","44","",""
"Collective Inferno","R","R","8040","4.22","1256","5.56","0","0.0%","","0","","0","","0","","0","",""
"Elder Auntie","R","C","75756","6.38","10688","8.85","12","0.4%","","2","","0","","2","","10","",""
