"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Shimmercreep","B","U","80807","5.08","14910","6.83","250","4.9%","","35","","66","","101","","146","",""
"Taster of Wares","B","R","14624","2.78","5501","3.03","57","3.0%","","12","","13","","25","","31","",""
"Twilight Diviner","B","R","17173","3.06","4865","3.58","23","1.4%","","6","","4","","10","","13","",""
"Unbury","B","U","61946","3.98","14591","4.99","97","3.4%","","19","","31","","50","","47","",""
"Ashling, Rekindled","R","R","14305","2.78","5451","3.04","210","9.4%","","27","","59","","86","","123","",""
"Boldwyr Aggressor","R","U","94402","6.31","12016","9.15","0","0.0%","","0","","0","","0","","0","",""
"Boneclub Berserker","R","C","260055","7.38","29889","10.73","9","0.1%","","2","","4","","6","","4","",""
"Boulder Dash","R","U","60305","3.99","15091","4.86","89","2.4%","","12","","29","","41","","48","",""
"Brambleback Brute","R","C","258055","6.98","32035","10.07","4","0.0%","","1","","0","","1","","3","",""
"Burning Curiosity","R","C","268055","7.30","37273","10.24","15","0.1%","","4","","3","","7","","8","",""
"Champion of the Path","R","R","16632","3.14","4944","3.60","17","1.2%","","2","","5","","7","","10","",""
"Cinder Strike","R","C","159623","4.09","42842","4.97","372","3.8%","","59","","91","","150","","222","",""
"Collective Inferno","R","R","27548","4.47","4103","6.24","4","0.2%","","0","","1","","1","","3","",""
"Elder Auntie","R","C","248199","6.65","32976","9.40","16","0.1%","","2","","2","","4","","12","",""
"End-Blaze Epiphany","R","R","13912","2.58","6370","2.76","615","22.3%","54.8%","99","","168","","267","","348","",""
"Enraged Flamecaster","R","C","249481","6.66","31626","9.62","13","0.1%","","1","","7","","8","","5","",""
"Explosive Prodigy","R","U","53001","3.60","17686","4.13","342","7.8%","","57","","98","","155","","187","",""
"Feed the Flames","R","C","195868","4.86","37564","6.39","453","5.1%","","74","","120","","194","","259","",""
"Flame-Chain Mauler","R","C","251855","6.63","37187","9.24","5","0.0%","","2","","1","","3","","2","",""
"Flamebraider","R","U","57543","4.02","17397","4.61","12","0.2%","","3","","3","","6","","6","",""
"Flamekin Gildweaver","R","C","234624","6.01","42333","7.90","32","0.3%","","7","","9","","16","","16","",""
"Giantfall","R","U","74138","4.78","13036","6.30","22","0.7%","","2","","6","","8","","14","",""
"Goatnap","R","U","106549","7.44","11752","11.08","0","0.0%","","0","","0","","0","","0","",""
"Goliath Daydreamer","R","R","13725","2.66","5348","2.90","20","1.2%","","6","","6","","12","","9","",""
"Gristle Glutton","R","C","247086","6.47","40223","8.72","25","0.2%","","4","","4","","8","","17","",""
"Hexing Squelcher","R","R","18109","3.19","3793","4.01","2","0.1%","","2","","0","","2","","0","",""
