"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Virulent Emissary","G","U","58149","3.36","17568","3.97","0","","","0","","0","","0","","0","",""
"Wildvine Pummeler","G","C","274784","5.80","37007","8.45","236","13.0%","","41","","61","","102","","135","",""
"Abigale, Eloquent First-Year","WB","R","8976","1.67","5704","1.72","1114","98.1%","52.7%","209","","300","","509","55.6%","606","50.3%","5.3pp"
"Ashling's Command","UR","R","13393","2.37","6985","2.46","647","83.2%","56.0%","104","","180","","284","","361","",""
"Boggart Cursecrafter","BR","U","72372","4.42","15778","5.29","47","4.6%","","7","","10","","17","","30","",""
"Bre of Clan Stoutarm","WR","R","15461","2.67","5685","2.90","5429","100.0%","53.0%","917","54.1%","1383","60.5%","2300","58.0%","3160","49.4%","8.6pp"
"Brigid's Command","WG","R","17040","2.84","5594","3.20","149","","","33","","28","","61","","86","",""
"Catharsis","WR","M","6771","2.09","2729","2.19","2268","99.6%","52.7%","360","","572","58.4%","932","56.3%","1319","50.0%","6.4pp"
"Chaos Spewer","BR","C","288948","6.55","34736","9.55","2437","42.0%","50.0%","416","","633","51.5%","1049","50.1%","1395","49.8%","0.3pp"
"Chitinous Graspling","UG","C","284876","5.81","38826","8.60","50","4.2%","","9","","13","","22","","27","",""
"Deceit","UB","M","5284","1.75","3183","1.79","8","","","0","","0","","0","","8","",""
"Deepchannel Duelist","WU","U","58222","3.70","18281","4.12","17","3.2%","","3","","3","","6","","11","",""
"Deepway Navigator","WU","R","21429","3.36","6009","3.94","4","","","1","","1","","2","","2","",""
"Doran, Besieged by Time","WBG","R","20966","3.27","5754","3.69","59","","","7","","21","","28","","32","",""
"Dream Harvest","UB","R","32600","4.14","5235","5.58","4","","","1","","1","","2","","2","",""
"Eclipsed Boggart","BR","U","78624","4.59","17112","5.57","350","24.6%","","67","","89","","156","","190","",""
"Eclipsed Elf","BG","U","54142","3.33","18620","3.75","0","","","0","","0","","0","","0","",""
"Eclipsed Flamekin","UR","U","66693","3.93","20863","4.52","1648","76.0%","53.1%","285","","390","","675","54.8%","953","51.3%","3.5pp"
"Eclipsed Kithkin","WG","U","58637","3.51","17773","4.06","1315","72.4%","50.5%","240","","294","","534","51.7%","774","49.6%","2.1pp"
"Eclipsed Merrow","WU","U","64841","3.88","19821","4.42","212","22.4%","","31","","49","","80","","129","",""
"Emptiness","WB","M","5050","1.65","2913","1.70","421","","","81","","108","","189","","233","",""
"Feisty Spikeling","WR","C","271793","5.51","39146","7.97","8015","79.1%","50.5%","1437","49.2%","1849","49.4%","3286","49.3%","4683","51.3%","-2.0pp"
"Figure of Fable","WG","R","8126","1.56","5702","1.60","1331","98.2%","54.4%","254","","326","","580","63.1%","748","47.9%","15.2pp"
"Flaring Cinder","UR","C","276260","6.13","46966","8.32","2934","47.8%","53.4%","512","50.6%","699","53.8%","1211","52.4%","1697","53.8%","-1.4pp"
"Gangly Stompling","RG","C","268355","5.37","43370","7.71","4787","77.2%","51.8%","820","52.6%","1157","50.9%","1977","51.6%","2775","52.0%","-0.4pp"
"Glister Bairn","UG","U","91220","5.00","14339","7.01","0","","","0","","0","","0","","0","",""
"Grub's Command","BR","R","19132","3.12","6215","3.51","191","30.1%","","31","","54","","85","","105","",""
"High Perfect Morcant","BG","R","12496","2.28","5180","2.48","0","","","0","","0","","0","","0","",""
