"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"High Perfect Morcant","BG","R","10770","2.28","4467","2.48","34851","83.2%","57.1%","5977","61.9%","9054","61.9%","15031","61.9%","18533","52.5%","9.4pp"
"Hovel Hurler","WR","U","61322","3.91","12684","5.00","60746","76.7%","51.9%","10103","49.3%","15693","55.8%","25796","53.3%","35242","51.0%","2.2pp"
"Kirol, Attentive First-Year","WR","R","16942","2.95","5674","3.33","30789","80.8%","52.4%","5380","51.5%","7891","53.8%","13271","52.8%","17585","52.1%","0.8pp"
"Lluwen, Imperfect Naturalist","BG","R","11649","2.31","5074","2.50","36243","85.6%","55.7%","6791","59.8%","8812","58.6%","15603","59.1%","19993","52.6%","6.5pp"
"Maralen, Fae Ascendant","UBG","R","12216","2.47","4918","2.64","33052","79.3%","54.9%","5572","57.2%","8722","62.1%","14294","60.2%","17789","50.0%","10.2pp"
"Merrow Skyswimmer","WU","C","189533","4.62","44595","5.88","235154","81.7%","55.7%","40084","55.1%","59139","58.3%","99223","57.0%","131842","54.4%","2.6pp"
"Mischievous Sneakling","UB","C","215188","4.86","39383","6.81","187676","75.8%","52.8%","34081","51.9%","45467","52.7%","79548","52.3%","105632","52.9%","-0.5pp"
"Morcant's Loyalist","BG","U","42033","3.16","14956","3.53","93343","84.3%","58.0%","16416","59.4%","23491","62.7%","39907","61.3%","50384","54.6%","6.7pp"
"Noggle Robber","RG","U","61916","3.91","16968","4.79","89282","81.6%","54.8%","15904","57.6%","22926","57.3%","38830","57.4%","50520","52.8%","4.6pp"
"Prideful Feastling","WB","C","210305","4.75","33855","6.81","156469","73.4%","53.0%","27633","51.8%","36834","53.7%","64467","52.9%","89914","52.8%","0.1pp"
"Raiding Schemes","RG","R","43948","6.05","5577","9.14","842","2.4%","41.7%","159","","203","","362","","482","",""
"Reaping Willow","WB","U","48727","3.28","13877","3.91","72148","79.6%","54.0%","12155","53.1%","18479","59.2%","30634","56.8%","41661","52.0%","4.8pp"
"Sanar, Innovative First-Year","UR","R","9784","2.02","6059","2.09","46638","92.5%","56.0%","8016","58.7%","12830","61.7%","20846","60.5%","25751","52.3%","8.2pp"
"Shadow Urchin","BR","R","15722","2.84","4853","3.21","28724","82.5%","52.6%","5035","52.6%","7416","54.3%","12451","53.6%","16408","51.8%","1.9pp"
"Stoic Grove-Guide","BG","C","231046","5.65","33435","8.04","130524","60.9%","54.7%","21619","51.1%","29626","53.9%","51245","52.7%","77802","55.7%","-3.0pp"
"Sygg's Command","WU","R","16682","3.06","5319","3.52","30642","74.1%","56.1%","5222","56.5%","7695","60.1%","12917","58.6%","16787","53.4%","5.2pp"
"Tam, Mindful First-Year","UG","R","10372","2.10","4970","2.21","34266","93.4%","53.1%","6287","53.2%","8669","54.0%","14956","53.7%","19381","52.7%","0.9pp"
"Thoughtweft Lieutenant","WG","U","55320","3.94","14051","4.57","71284","74.5%","56.4%","12671","59.6%","16231","57.9%","28902","58.6%","40907","54.4%","4.2pp"
"Trystan's Command","BG","R","10412","2.19","5403","2.31","41112","86.0%","57.7%","6820","60.2%","10505","66.2%","17325","63.8%","22968","52.3%","11.5pp"
"Twinflame Travelers","UR","U","58007","4.09","16166","4.71","85936","79.9%","54.9%","14416","55.1%","24728","58.5%","39144","57.2%","44963","52.3%","4.9pp"
