"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Spiral into Solitude","W","C","52778","4.15","11662","5.29","24079","96.7%","56.1%","4118","53.6%","5543","57.4%","9661","55.8%","14426","56.4%","-0.6pp"
"Sun-Dappled Celebrant","W","C","72872","5.82","10272","8.17","12497","60.6%","53.4%","2037","50.3%","2969","54.8%","5006","53.0%","7529","53.6%","-0.6pp"
"Thoughtweft Imbuer","W","U","19869","4.45","4726","5.18","17280","96.5%","57.2%","3013","57.8%","3961","60.3%","6974","59.2%","9934","55.4%","3.8pp"
"Timid Shieldbearer","W","C","71382","5.73","11706","7.74","32126","92.6%","56.9%","5964","55.5%","6966","56.7%","12930","56.1%","18806","57.2%","-1.1pp"
"Tributary Vaulter","W","C","77590","6.52","11006","9.02","738","7.6%","49.5%","136","","163","","299","","437","",""
"Wanderbrine Preacher","W","C","70960","5.60","12505","7.47","6618","45.3%","55.6%","1165","57.9%","1436","53.6%","2601","55.6%","4012","55.6%","-0.1pp"
"Wanderbrine Trapper","W","U","18496","3.91","5436","4.51","6621","87.4%","58.0%","1213","60.8%","1468","57.6%","2681","59.0%","3943","57.2%","1.9pp"
"Winnowing","W","R","6724","3.67","1418","4.53","1881","74.0%","53.4%","317","","452","","769","53.2%","1112","53.6%","-0.4pp"
"Aquitect's Defenses","U","C","82635","7.05","10565","10.25","26","0.6%","","5","","8","","13","","13","",""
"Blossombind","U","C","58894","4.64","12921","5.95","151","6.8%","","28","","35","","63","","88","",""
"Champions of the Shoal","U","R","4012","2.66","1618","2.90","48","8.6%","","6","","16","","22","","28","",""
"Disruptor of Currents","U","R","3791","2.33","1839","2.51","0","","","0","","0","","0","","0","",""
"Flitterwing Nuisance","U","R","3602","2.35","1650","2.49","15","","","2","","3","","5","","10","",""
"Glamer Gifter","U","U","18577","3.94","5104","4.73","20","2.7%","","4","","7","","11","","9","",""
"Glamermite","U","C","77133","6.33","10788","9.00","6","0.2%","","1","","1","","2","","4","",""
"Glen Elendra Guardian","U","R","3746","2.32","1680","2.50","66","","","9","","15","","24","","42","",""
"Glen Elendra's Answer","U","M","4501","3.89","1031","4.71","0","","","0","","0","","0","","0","",""
"Gravelgill Scoundrel","U","C","77774","6.59","12039","8.96","9","0.2%","","2","","3","","5","","4","",""
"Harmonized Crescendo","U","R","6735","3.73","1601","4.53","27","5.1%","","9","","4","","13","","14","",""
"Illusion Spinners","U","U","26991","5.72","3825","7.94","0","0.0%","","0","","0","","0","","0","",""
"Kulrath Mystic","U","C","83350","7.21","11470","10.19","6","0.1%","","1","","1","","2","","4","",""
"Loch Mare","U","M","1374","1.69","861","1.77","76","","","14","","22","","36","","40","",""
"Lofty Dreams","U","U","24985","5.18","4872","6.71","2","0.2%","","0","","0","","0","","2","",""
"Mirrorform","U","M","3109","3.28","944","3.52","24","","","4","","6","","10","","14","",""
"Noggle the Mind","U","U","21862","4.57","3893","5.95","17","2.0%","","3","","1","","4","","13","",""
"Oko, Lorwyn Liege","U","M","1394","1.72","840","1.73","306","55.8%","","41","","81","","122","","185","",""
"Omni-Changeling","U","U","18560","3.93","5294","4.63","10","1.3%","","2","","4","","6","","4","",""
"Pestered Wellguard","U","U","18444","4.02","4467","4.86","7","0.9%","","1","","0","","1","","6","",""
"Rime Chill","U","U","28191","5.72","4700","7.63","65","4.1%","","6","","17","","23","","42","",""
"Rimefire Torque","U","R","12523","5.62","1468","8.53","0","0.0%","","0","","0","","0","","0","",""
"Rimekin Recluse","U","U","14359","3.20","5926","3.58","124","12.6%","","26","","28","","54","","70","",""
"Run Away Together","U","C","82443","7.12","10788","10.23","7","0.2%","","0","","2","","2","","5","",""
