"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Master Piandao","W","U","35924","3.60","8300","4.41","48138","84.7%","56.0%","7919","54.4%","11895","55.6%","19814","55.1%","28476","56.4%","-1.2pp"
"Momo, Friendly Flier","W","R","13002","2.96","3890","3.36","23853","77.4%","56.4%","4254","63.3%","5614","54.5%","9868","58.3%","13886","55.1%","3.2pp"
"Momo, Playful Pet","W","U","32956","3.31","10154","3.83","63822","88.7%","57.3%","11544","61.1%","14815","56.3%","26359","58.4%","37201","56.4%","2.0pp"
"Path to Redemption","W","C","109020","3.82","28001","4.75","170103","89.4%","56.9%","29191","55.2%","42159","58.7%","71350","57.3%","98742","56.6%","0.6pp"
"Rabaroo Troop","W","C","188985","7.28","22025","10.68","31133","21.3%","53.9%","5377","52.4%","7441","52.5%","12818","52.5%","18309","54.9%","-2.4pp"
"Razor Rings","W","C","135174","4.61","24902","6.21","132034","79.5%","55.9%","22995","54.3%","32134","56.9%","55129","55.8%","76803","55.9%","-0.1pp"
"Sandbenders' Storm","W","C","171485","6.22","20005","9.27","52689","39.8%","53.9%","8786","50.0%","12891","54.5%","21677","52.7%","31001","54.8%","-2.1pp"
"South Pole Voyager","W","R","6946","1.89","3828","2.00","32844","92.4%","57.7%","6063","62.5%","7898","60.1%","13961","61.1%","18738","54.9%","6.2pp"
"Southern Air Temple","W","U","59777","5.95","8156","8.41","14458","27.5%","49.6%","2371","45.1%","3754","53.2%","6125","50.1%","7602","47.8%","2.3pp"
"Suki, Courageous Rescuer","W","R","6540","1.77","3745","1.86","32866","91.8%","58.4%","5716","63.1%","8186","61.7%","13902","62.3%","18909","55.1%","7.1pp"
"Team Avatar","W","U","31342","3.27","8857","3.79","51434","84.2%","55.2%","8545","53.3%","12508","55.8%","21053","54.8%","30392","55.5%","-0.7pp"
"United Front","W","M","3109","1.53","2253","1.56","20409","93.1%","58.8%","3477","63.6%","5135","66.6%","8612","65.4%","11784","54.0%","11.4pp"
"Vengeful Villagers","W","U","65822","6.54","7740","9.52","13335","26.2%","52.9%","2232","51.1%","3261","49.3%","5493","50.0%","7852","54.8%","-4.7pp"
"Water Tribe Captain","W","C","158896","5.56","27772","7.53","137361","73.6%","56.9%","23863","56.3%","32325","55.8%","56188","56.0%","80734","57.4%","-1.4pp"
"Water Tribe Rallier","W","U","27486","2.89","12077","3.20","82306","91.5%","58.2%","15172","60.1%","20199","59.8%","35371","59.9%","46668","56.7%","3.2pp"
"Yip Yip!","W","C","178816","6.54","28527","8.94","107359","55.8%","57.5%","17746","55.5%","25267","57.8%","43013","56.8%","63865","57.8%","-1.0pp"
"Accumulate Wisdom","U","U","32603","3.26","11768","3.75","72627","88.8%","55.4%","12799","53.9%","20660","58.5%","33459","56.8%","38214","53.9%","2.8pp"
"Benevolent River Spirit","U","U","42886","4.15","12673","4.88","71885","82.8%","55.9%","12090","54.3%","21153","58.9%","33243","57.2%","38710","54.6%","2.6pp"
"Boomerang Basics","U","U","44156","4.18","12044","5.05","67973","83.5%","55.8%","11679","53.6%","19475","59.0%","31154","57.0%","36063","54.5%","2.5pp"
"Crashing Wave","U","U","64354","6.33","8816","9.00","18667","32.0%","52.1%","3059","47.3%","5159","55.0%","8218","52.2%","10398","51.9%","0.2pp"
"Ember Island Production","U","U","66677","6.59","8807","9.47","14263","24.4%","52.4%","2386","48.9%","4115","55.0%","6501","52.7%","7749","52.0%","0.7pp"
"First-Time Flyer","U","C","145641","5.00","30391","6.60","162460","80.2%","55.7%","28872","55.9%","45170","56.9%","74042","56.5%","87997","55.0%","1.5pp"
"Flexible Waterbender","U","C","195164","8.04","23887","11.54","18116","11.5%","52.9%","3135","52.5%","5005","53.5%","8140","53.1%","9988","52.7%","0.4pp"
